id,title,severity,steps_to_reproduce,user,initial_state,received_result,expected_result,attachments
6,"Нажатие на кнопку Enter в строке поиска на странице ""Контакты"" перезагружает страницу",Low,"1) Кликнуть на строку поиска в левом верхнем углу
2) Ввести ""кот""
3) Подтвердить введение нажатием Enter",319736241,"Открыта страница ""Контакты""
http://130.193.37.179/app/contact?","Страница ""Контакты"" перезагружена","Открыта страница ""Питомцы"", на которой показаны животные с тегом ""Кот""",None
8,Строка поиска позволяет ввод и активацию знаков препинания и чисел,Medium,"1) Кликом мыши активировать строку поиска в левом верхнем углу экрана
2) Ввести следующий запрос: ""^****##&&@&@!!388832""""!""
3",319736241,"Открыта любая страница сайта
http://130.193.37.179/app/pets
http://130.193.37.179/app/contact
http://130.193.37.179/app/about","Строка позволила ввести в себя некорректные символы, сообщения об ошибке при отправке не выдала.","Строка не позволяет ввести в себя некорректные символы, не дает совершить отправку такого запроса, или хотя бы выдает ошибку после того как он совершен",bug_8
1,Содержимое сайта не прогружается через IE 11,Low,"1) Ввести в адресной строке браузера ссылку на любую страницу сайта
2) Нажать Enter",319736241,Открыт Internet Explorer 11,"Страница открыта, не отображается ничего, кроме зеленого фона",Страница открыта и отображается корректно,bug_1
9,"Опечатка в слове ""Возраст"" на странице ""Питомцы""",Low,"1) Открыть страницу ""Питомцы""",319736241,"Открыта страница ""Питомцы"" сайта:
http://130.193.37.179/app/pets","Слово ""Возвраст"" написано с ошибкой, ""Возвраст""","Слово ""Возраст"" написано без ошибки",bug_9
2,"Кнопка ""Питомцы без дома"" на странице ""Питомцы"" отфильтровывает лишний результат",Medium,"1) Посчитать количество питомцев с меткой ""без дома""
2) Нажать на кнопку ""Питомцы без дома""",319736241,"Открыта страница ""Питомцы"".
Питомцы не отфильтрованы.","Не хватает одного из питомцев с меткой ""без дома""","Все питомцы с меткой ""без дома"" отображены в результатах",bug_2
3,"Кнопка ""Счастливчики"" на странице ""Питомцы"" не загружает JSON с результатами",Medium,"1) Открыть вкладку ""Network"" в DevToold
2) Кликнуть на кнопку ""Счастливчики""
3) Проверить, отправила ли страница JSON с результатами",319736241,"Открыта страница ""Питомцы""","В поле ""результаты"" отправляется пустой список","В поле ""результаты"" отправляется корректный JSON",bug_3
5,"Кнопки соцсетей на странице ""Питомцы"" не отправляют никаких запросов",Low,"1) Открыть вкладку Network DevTоols
2) Нажать на кнопку с иконкой ""Инстаграмма"" в левом нижнем углу страницы
3) Нажать на кнопку с иконкой ""Тиктока"" в левом нижнем углу страницы
4) Нажать на кнопку с иконкой ""Ютуба"" в левом нижнем углу страницы
5) Нажать на кнопку с иконкой ""Телеграма"" в левом нижнем углу страницы",319736241,"Открыта страница ""Питомцы""
http://130.193.37.179/app/pets",Ни одна из кнопок не отправила запрос. Не было открыто ни одной страницы,"Отправлены необходимые для функционирования кнопок запросы. 
Открыты страницы Инстаграмма, Тиктока, Ютуба, Телеграма",None
7,"Строка поиска на странице ""Питомцы"" ищет питомцев по информации, которая не указана на их карточке превью",Low,"1) Кликом мыши активировать строку поиска в верхнем левом углу экрана
2) Ввести ""попугай"" или букву ""у""",319736241,"Открыта страница ""Питомцы""","Выдается две карточки: ""Гоша, мальчик, год"", ""Мухтар, мальчик, 0 года"". На карточке с Гошей не написано, что он попугай","На карточке Гоши написано в том числе ""попугай"", в этом слове выделены те символы, которые совпадают с символами в строке поиска",bug_7
10,"Поле ""Возраст"" на странице ""Питомцы"" принимает отрицательные значения",Medium,"1) В правой верхней части страницы найти блок с фильтрами
2) Активировать фильтр ""возраст"" кликом мыши
3) С клавиатуры ввести значение -1",319736241,"Открыта страница ""Питомцы"" сайта
http://130.193.37.179/app/pets","Поле приняло отрицательно значение возраста, страница отфильтровала всех не соответствующих этому условию питомцев",Поле не позволяет ввести отрицательное число,bug_10
29,dfsdf,Critical,w,319736241,v,c,g,bug_29
31,"У блока фильтров и блока сортировки на странице ""Питомцы"" различная высота",Low,"1) В верхней левой части тела страницы найти блок фильров с полями ""Вид животного"", ""Порода"", ""Пол"", ""Возраст"".
2) В верхней правой части тела страницы найти блок сортировки с полем ""Сортировать по""
3) Сравнить высоту рамок вокруг блоков",319736241,"Открыта страница ""Питомцы""
http://130.193.37.179/app/pets","Высота рамки блока ""Сортировать по"" меньше чем у блока фильтров",Высота рамок блоков одинакова,bug_31
11,"Повторяющиеся строки в фильтре ""Вид животного"" на странице ""Питомцы""",Medium,"1) В левой верхней части тела страницы найти блок фильтров
2) Кликом мыши развернуть фильтр ""Вид животного""
3) Сосчитать количество строк с содержимым ""Обезьянка"" в открывшемся списке",319736241,"Открыта страница ""Питомцы""
http://130.193.37.179/app/pets?","В списке две строки с содержимым ""Обезьянка""","В списке одна строка с содержимым ""Обезьянка""",bug_11
12,"В фильтре ""Вид животного"" есть строка с видом животного, не представленного на сайте",Low,"1) В левой верхней части тела страницы найти блок фильтров
2) Кликом мыши развернуть фильтр ""Вид животного""",319736241,"Открыта страница ""Питомцы""
http://130.193.37.179/app/pets?","В списке есть строка с содержимым ""Обезьянка"", хотя на сайте нет обезьян","В списке нет строки с содержимым ""Обезьянка""",bug_12
13,"Кнопки со ссылками на соцсети на странице ""О нас"" не работают",Medium,"1) Найти блок со ссылками в правой части футера страницы
2) Нажать на кнопку с иконкой ""Инстаграмма"" (первая слева)
3) Нажать на кнопку с иконкой ""Тиктока"" (вторая слева)
4) Нажать на кнопку с иконкой ""Ютуба"" (третья слева)
5) Нажать на кнопку с иконкой ""Телеграмма"" (четвертая слева)",319736241,"Открыта страница ""О нас""
http://130.193.37.179/app/about","Открыта страница ""О нас"". Ни одна из кнопок не отправила запрос. Ни одной страницы кроме ""О нас"" не открыто.","Кроме страницы ""О нас"" открыты страницы сервиса в следующих соцсетях: инстаграмм, тикток, Ютуб, телеграмм",None
14,"Некорректное разрешение фотографий на карточках на странице ""Питомцы""",Low,"1) Кликнуть на карточку питомца ""Барон"" или на карточку питомца ""Мухтар""
2) Запомнить пропорции настоящей фотографии питомца
3) Нажать в браузере на кнопку ""Назад""
4) Сравнить пропорции из пункта 2 с пропорциями фотографии на соответствующей карточке питомца",319736241,"Открыта страница Питомцы
http://130.193.37.179/app/pets","Фотографии на карточках питомцев ""Мухтар"" и ""Барон"" искажены, их пропорции отличаются от пропорций исходных фотографий","Фотографии на карточках всех питомцев не искажены, сайт автоматически масштабирует фотографии неверных пропорций до пропорций из карточки питомцев на странице ""Питомцы""",bug_14
15,Возраст питомца на странице Питомцы не ограничен сверху,Low,"1) Найти блок с фильтрами в левой верхней части тела страницы
2) В поле ""возраст"" ввести возраст из данных",319736241,"Открыта страница Питомцы
http://130.193.37.179/app/pets","Поле приняло заведомо высокий возраст, сообщения об ошибке нет, страница отсортирована по питомцам с возрастом 500, то есть пуста","Поле не принимает возраст питомца выше разумного значения (около ста лет), выдает сообщение об ошибке при попытке ввести слишком большой возраст",None
16,Шрифт сайта мешает читать,High,1) Прочитать любую строчку текста,319736241,"Открыта любая страница портала ""Дом Питомца""","Шрифт ""Руслан"" слишком толстый, чтобы глаз не останавливался на широких буквах. Шрифт ""Руслан"" перегружен декоративными элементами, что мешает различать перерывы между буквами.","Шрифт легко читать. Посетитель не задумывается о том, на какое слово смотрит, ему не приходится подолгу всматриваться в текст.",bug_16
17,Подписи к полям фильтров на странице Питомцы выровнены по верхнему краю,Low,"1) В левой верхней части тела страницы найти блок с фильтрами
2) Мысленно провести линию через центр полей ввода",319736241,"Открыта страница Питомцы
http://130.193.37.179/app/pets",Подписи к полям выровнены по верхнему краю,Подписи к полям выровнены по центру (по вертикали),bug_17
18,"Оглавление страницы ""Питомцы"" не отправляет сетевой запрос",Medium,"1) В нижней части тела страницы найти блок оглавления (две стрелки и цифра, означающая номер страницы)
2) Открыть вкладку ""Network"" в DevTools браузера
3) Нажать на номер страницы (1)
4) Проверить, был ли сделан какой-то запрос",319736241,"Открыта страница Питомцы
http://130.193.37.179/app/pets",Запрос не сделан. Страница не перезагружена,"Кнопка отправляет запрос с номером страницы, что приводит к ее перезагрузке",None
20,Знаки препинания в надписях в заголовке и на кнопках секции для ввода контактной информации,Low,"1) Пронаблюдать заголовок карточки
2) Пронаблюдать надписи на кнопках",319736241,"Открыта секция для ввода контактной информации в карточке питомца ""Барон""
http://130.193.37.179/app/pets/517d137a-d05e-48bc-b1c0-cfeb09e06f23","В заголовке надпись ПРИЮТИТЬ ПИТОМЦА?!, знаки препинания присутствуют
На кнопке ""Нет"" знаков препинания нет
На кнопке ""Да!"" есть знак препинания",Знаков препинания нет,bug_20
19,"Отображение названий полей для ввода в форме ""Приютить питомца?!""",High,"1) Нажать на кнопку ""Приютить питомца"" под списком информации о питомце
2) Прочитать названия полей для ввода информации",319736241,"Открыта карточка с подробной информацией о питомце ""Барон""
http://130.193.37.179/app/pets/517d137a-d05e-48bc-b1c0-cfeb09e06f23","Названия полей для ввода информации не отображаются, вместо каждого из них надпись field.name
В коде страницы для каждого элемента-названия написано field.name","Каждое поле названо в соответствии с тем, какую информацию принимает",bug_19
21,"Поле ""Имя"" в секции для ввода контактной информации принимает спецсимволы и цифры",Low,"1) В центральной части тела страницы найти поле для ввода ""Имя""
2) Активировать его кликом мыши
3) Ввести в него набор спецсимволов
4) Ввести в него набор цифр",319736241,"Открыта секция для ввода контактной информации питомца ""Барон""",Поле приняло и спецсимволы и цифры,Поле не принимает спецсимволы или цифры,bug_21
22,"Информация о приюте на странице ""О нас"" не соответствует наполнению сайта",Critical,1) Прочесть информацию о приюте,319736241,"Открыта страница ""О нас""
http://130.193.37.179/app/about","На странице расположена следующая информация:

""Дом Питомца"" - это муниципальный приют для бездомных собак.

В нем живет почти 500 собак.

Большие и маленькие, пушистые и гладкие, веселые и задумчивые -

и на всех одна большая мечта - встретить своего Человека и найти Дом.","На странице указано, что в приюте также содержатся животные кроме собак. Количество собак — 2 штуки",bug_22
23,В строке поиска на всех страницах текст placeholder - а не отцентрирован по горизонтали и вертикали,Low,"1) В правой части заголовка страницы найти поле для ввода строки поиска
2) Мысленно провести две линии через центр поля для ввода строки поиска",319736241,"Открыта одна из следующих страниц сайта:
http://130.193.37.179/app/pets
http://130.193.37.179/app/about
http://130.193.37.179/app/contact",Текст льнет к левому верхнему краю поля,"Текст отцентрирован по вертикали, либо текст отцентрирован по вертикали и горизонтали",bug_23
24,"Строка поиска на странице ""О нас"" не производит поиск",Medium,"1) В правой части заголовка страницы найти поле поиска
2) Ввести в него строку ""Барон""
3) Нажать Enter",319736241,"Открыта страница ""О нас""
http://130.193.37.179/app/about","Станица ""О нас"" обновлена","Открыта страница ""Питомцы"", на ней единственная карточка — питомец Барон",bug_24
25,"В выпадающем списке фильтра ""Пол"" на странице ""Питомцы"" все результаты некорректны",Medium,"1) В левой верхней части страницы найти блок фильтров
2) В поле ""Пол"" развернуть выпадающий список",319736241,"Открыта страница ""Питомцы""
http://130.193.37.179/app/pets","Развернут список. В нем следующие пункты:
- Вилка
- Вилка
- Девочка
- Кабель
- Мальчик
- Розетка

Все результаты являются некорректными","В списке два основных пола животных, или приведено литературное название пола для каждого вида животных, содержащихся в приюте",bug_25
26,"Надпись ""Дом Питомца"" в заголовке сайта неинтерактивна",Low,"1) В заголовке страницы найти надпись ""Дом Питомца""
2) Кликнуть на надпись ""Дом Питомца""",319736241,"Открыта любая из страниц ресурса:
http://130.193.37.179/app/pets
http://130.193.37.179/app/contact
http://130.193.37.179/app/about","Надпись неинтерактивна, никаких действий не производится. Страница в изначальном состоянии","Надпись интерактивна, ведет на главную страницу сайта или ее аналог в соответствии с устоявшимися нормами при проектировании сайтов",None
27,"Заголовок ""Дом Питомца"" не отцентрован по горизонтали ни на одной странице сайта",Medium,"1) В заголовке страницы найти надпись ""Дом Питомца""
2) Провести воображаемую вертикальную линию по центру страницы
3) Установить, где относительно этой линии находится надпись",319736241,"Открыта любая из страниц ресурса:
http://130.193.37.179/app/pets
http://130.193.37.179/app/contact
http://130.193.37.179/app/about",Надпись смещена влево относительно центра страницы,Надпись находится ровно по центру страницы,bug_27
28,Блок с кнопками соцсетей наезжает на другой элемент при открытии любой страницы сайта в мобильном браузере,Low,"1) Найти блок с кнопками соцсетей в левой части футера страницы
2) Проверить, не занимает ли он то же место, что и другой равнозначный элемент сайта",319736241,"Открыта любая из трех страниц сайта:
http://130.193.37.179/app/pets
http://130.193.37.179/app/contact
http://130.193.37.179/app/about","Блок с кнопками соцсетей перекрыт надписью ""© дом питомца""","Блоки уменьшены/деформированы так, чтобы отображаться в данном разрешении без перекрытия",bug_28
